FID,OBJECTID,LabNumber,PDRNumber,Collected_,CtValue,Results,Count_Adul,Count_Nymp,Insect_Sta,Insect_No,Lab_Set,Cycle_No,Month_,Year_,Program_ID,Activity_I,Situation_,Address,City,State,Zip,County,Grid_Numbe,Longitude,Latitude,X_ref,Y_ref
0,9090,17.018-247,AM0P06712420,2/24/2017,39.49,NEG,2,0,A,2,AZ,0,2,2017,HLB,12,63,421 E 2nd Ave,La Habra,CA,90631,Orange, ,-117.94123,33.92997,190353,-451868
1,9091,17.018-248,AM0P06712422,2/24/2017,37.81,NEG,1,0,A,1,AZ,0,2,2017,HLB,12,63,319 Bright St,La Habra,CA,90631,Orange, ,-117.94077,33.92911,190397,-451962
2,9101,17.018-257,AM0P06712459,2/24/2017,37.97,NEG,2,0,A,2,AZ,0,2,2017,HLB,12,63,2227 E Olmstead Way,Anaheim,CA,92806,Orange, ,-117.88548,33.82961,195755,-462882
1473,238056,E17-00563,CE2P06680394,12/28/2016,39.71,NEG,1,0,A,1,CDFA,0,12,2016,HLB,12,63,12221 186th St,Artesia,CA,90701,Los Angeles, ,-118.07158,33.862518,178455,-459601
1497,241155,E17-03662,RS0P06675213,1/24/2017,39.71,NEG,1,0,A,1,CDFA,0,1,2017,HLB,12,63,10108 E Klingerman St,South El Monte,CA,91733,Los Angeles, ,-118.048709,34.055453,180130,-438162
5,10606,17.03-103,SM0P06164301,12/20/2016,37.37,Fail,1,0,A,1,AZ,0,12,2016,HLB,12,63,3124 Brookside Ln,Encinitas,CA,92024,San Diego, ,-117.21791,33.05403,260063,-547221
6,10787,17.03-194,SDAP06490096,12/29/2016,38.8,NEG,1,0,A,1,AZ,0,12,2016,HLB,12,63,8814 Pestwick Way,Santee,CA,92017,San Diego, ,-117.00971,32.84857,280236,-569378
7,13274,17.060-198,RS0P06738761,6/7/2017,39.37,NEG,3,0,A,3,AZ, ,6,2017,HLB,12,63,3746 Lofton Pl,Riverside,CA,92501,Riverside, ,-117.363031,34.001575,243580,-442605
1491,240964,E17-03471,CE2P06694426,1/23/2017,39.6,NEG,4,0,A,4,CDFA,0,1,2017,HLB,12,63,8716 Grand Ave,Rosemead,CA,91770,Los Angeles, ,-118.07916,34.091773,177238,-434191
9,13278,17.060-200,RS0P06738759,6/7/2017,38.51,NEG,0,40,N,40,AZ, ,6,2017,HLB,12,63,3600 Geary Pl,Riverside,CA,92501,Riverside, ,-117.359527,34.003499,243897,-442382
10,13290,17.060-211,RS0P06738394,6/7/2017,39.37,NEG,0,20,N,20,AZ, ,6,2017,HLB,12,63,3263 Amhurst Dr,Riverside,CA,92503,Riverside, ,-117.473896,33.89258,233663,-454968
11,13304,17.060-224,RS0P06737385,6/7/2017,38.85,NEG,5,0,A,5,AZ, ,6,2017,HLB,12,63,11966 Knoefler Dr,Riverside,CA,92505,Riverside, ,-117.501809,33.906473,231041,-453497
12,13520,17.062-46,SM0P06788228,6/12/2017,38.47,NEG,17,0,A,17,AZ, ,6,2017,HLB,12,63,140 W 3rd Ave,Escondido,CA,92025,San Diego, ,-117.080788,33.11958,272653,-539576
13,16272,17.094-70,SDAP06440725,10/3/2017,39.27,NEG,0,4,N,4,AZ, ,10,2017,HLB,12,63,13561 Orchard Gate Rd,Poway,CA,92064,San Diego, ,-117.04223,33.00327,276655,-552345
14,18878,A16.017-138,SM0P06615897,9/27/2016,39.08,NEG,0,0,N,50,AZ,1,9,2016,HLB,12,63,542 Ross Drive,Escondido,CA,92029,San Diego, ,-117.12177,33.12463,268810,-539134
15,18898,A16.017-156,SM0P06615742,9/28/2016,38.45,NEG,0,0,A,1,AZ,1,9,2016,HLB,12,63,890 Day Lilies Ct.,San Marcos,CA,92078,San Diego, ,-117.13812,33.13198,267258,-538366
16,18903,A16.017-160,SM0P06616571,9/28/2016,38.24,NEG,0,0,A,4,AZ,1,9,2016,HLB,12,63,832 Arthur Avenue,Oceanside,CA,92057,San Diego, ,-117.29011,33.26264,252655,-524310
17,19003,A16.018-15,SM0P06653762,9/29/2016,39.3,Fail,0,0,N,15,AZ,1,9,2016,HLB,12,63,4550 BIG SUR ST.,OCEANSIDE,CA,92057,San Diego, ,-117.31725,33.25453,250151,-525281
1539,244631,E17-07138,RV0P06638699,3/14/2017,39.59,NEG,5,0,A,5,CDFA,0,3,2017,ACP,12,30,"0.26 mi. SE of E La Falda Way., 1.11 mi. S of E Te",Fillmore,CA, ,Ventura,KS530,-118.731096,34.39408,116639,-401665
19,24583,A16.06-32,AM0P06561194,9/6/2016,37.32,NEG,0,0,A,3,AZ,1,9,2016,HLB,12,63,11312 Gardenaire Ln,Garden Grove,CA,92841,Orange, ,-117.96255,33.79848,188695,-466490
20,24782,A16.08-121,SM0P06616184,8/1/2016,38.18,NEG,0,0,A,1,AZ,1,8,2016,HLB,92,63,205 East California Avenue,Vista,CA,92084,San Diego, ,-117.24332,33.20739,257194,-530305
21,24809,A16.08-146,SM0P06479050,8/11/2016,39.97,NEG,0,0,A,12,AZ,1,8,2016,HLB,12,63,686 Hoover Street,Escondido,CA,92027,San Diego, ,-117.0678,33.13562,273811,-537763
22,24810,A16.08-147,SM0P06479051,8/11/2016,37.84,NEG,0,0,N,50,AZ,1,8,2016,HLB,12,63,743 Hoover Street,Escondido,CA,92027,San Diego, ,-117.06888,33.13667,273706,-537649
