PLSFILL_,County,RC_tree,CT_R16,RCT2012,RCT2013,RCT2014,RCT2015,RCT2016,STR_ID__14,Loc12,Loc13,Loc14,Loc15,Loc16,Loc17,Tree12,Tree13,Tree14,Tree15,Tree16,Tree17,Loc15_17,STR_ID__15,HLB11,HLB12,HLB15,HLB16,HLB17,HLB_all
47697,San Mateo,4749,0.367297,0,0,0,0,0,47697,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50834,Santa Clara,3170,0.471439,0,0,0,0,0,50834,0,0,17,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
574,Humboldt,445,0.001031,0,0,0,0,0,574,0,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
6519,Shasta,990,0.016287,0,0,0,0,0,6519,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
6569,Shasta,2077,0.012171,0,0,0,0,0,6569,0,0,0,0,0,2,0,0,0,0,0,6,1,0,0,0,0,0,0,0
6622,Shasta,1008,0.002636,0,0,0,0,0,6622,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10401,Glenn,103,0.001888,0,0,0,0,0,10401,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
10411,Glenn,1746,0.032621,0,0,0,0,0,10411,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
10413,Glenn,205,0.032312,0,0,0,0,0,10413,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10421,Glenn,90,0.00185,0,0,0,0,0,10421,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
10505,Glenn,188,0.016518,0,0,0,0,0,10505,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
10509,Glenn,411,0.032272,0,0,0,0,0,10509,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10600,Glenn,122,0.00206,0,0,0,0,0,10600,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10606,Glenn,62,0.001915,0,0,0,0,0,10606,1,1,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0
11826,Glenn,1288,0.013212,0,0,0,0,0,11826,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14053,Mendocino,507,0.002411,0,0,0,0,0,14053,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0
15579,Mendocino,66,0.000152,0,0,0,0,0,15579,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15873,Yolo,13,0.000647,0,0,0,0,0,15873,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16937,Solano,2105,0.095624,0,0,0,0,0,16937,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
16969,Solano,3171,0.150966,0,0,0,0,0,16969,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0
17057,Contra Costa,2067,0.101316,0,0,0,0,0,17057,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17077,Contra Costa,751,0.046763,0,0,0,0,0,17077,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17088,Contra Costa,905,0.068668,0,0,0,0,0,17088,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17089,Contra Costa,2811,0.167736,0,0,0,0,0,17089,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
17139,Contra Costa,3953,0.730206,0,0,0,0,0,17139,0,0,0,0,0,8,0,0,0,0,0,14,3,0,0,0,0,0,0,0
17170,Contra Costa,2030,0.086207,0,0,0,0,0,17170,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17173,Contra Costa,2881,0.086559,0,0,0,0,0,17173,0,0,0,0,0,4,0,0,0,0,0,4,1,0,0,0,0,0,0,0
17196,Contra Costa,1026,0.027465,0,0,0,0,0,17196,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17197,Contra Costa,2189,0.172364,0,0,0,0,0,17197,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17257,Solano,1481,0.02366,0,0,0,0,0,17257,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33489,Butte,30,0.000295,0,0,0,0,0,33489,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
33578,Butte,1130,0.002487,0,0,0,0,0,33578,0,0,0,0,0,2,0,0,0,0,0,9,1,0,0,0,0,0,0,0
33586,Butte,145,0,0,0,0,0,0,33586,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
33776,Butte,186,0.000687,0,0,0,0,0,33776,1,0,1,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0
33779,Butte,80,0.00002,0,0,0,0,0,33779,2,3,3,0,0,0,2,5,11,0,0,0,0,0,0,0,0,0,0,0
33780,Butte,49,0,0,0,0,0,0,33780,0,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
34173,Butte,115,0.000529,0,0,0,0,0,34173,1,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
34761,Butte,62,0.005201,0,0,0,0,0,34761,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35845,Sutter,882,0.000062,0,0,0,0,0,35845,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35859,Yuba,110,0.040066,0,0,0,0,0,35859,0,0,0,2,0,1,0,0,0,6,0,3,1,0,0,0,0,0,0,0
36050,Yuba,981,0.020138,0,0,0,0,0,36050,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
36127,Yuba,1143,0.046444,0,0,0,0,0,36127,0,0,0,0,0,3,0,0,0,0,0,4,1,0,0,0,0,0,0,0
37151,Placer,126,0.004579,0,0,0,0,0,37151,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37234,Placer,32,0.000071,0,0,0,0,0,37234,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37237,Placer,12,0.00007,0,0,0,0,0,37237,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37342,Placer,1281,0.004215,0,0,0,0,0,37342,0,0,0,0,1,5,0,0,0,0,1,5,2,0,0,0,0,0,0,0
37445,Placer,944,0.0029,0,0,0,0,0,37445,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37447,Placer,145,0.002342,0,0,0,0,0,37447,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37528,Placer,532,0.002327,0,0,0,0,0,37528,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37545,Placer,285,0.005358,0,0,0,0,0,37545,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0
37631,Placer,586,0.025994,0,0,0,0,0,37631,0,0,0,0,4,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0
37632,Placer,2736,0.102062,0,0,0,0,0,37632,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37633,Placer,1375,0.108224,0,0,0,0,0,37633,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37647,Placer,72,0.000212,0,0,0,0,0,37647,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37650,Placer,108,0.000386,0,0,0,0,0,37650,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
