FID,FID_HLB_fi,PDR,Collected,Confirmed,Address,City,County,Lat_addr,Lon_addr,HostType,Host,FID_STR_ri,AREA,PLSFILL_,MERIDIAN,TOWNSHIP,TOWNDIR,RANGE,RANGEDIR,SECTION_,X_COORD,Y_COORD,MTRS,Segment_m2,Pop_2010,House_2010,Asian,Pden_STR,Pden_Seg,ZMIN,ZMAX,ZMEAN,Long_,Lat,County_1,CountyID,County_N,Inside_MIR,STR_ID,STR_ID_1,RC_tree,CT_R16,ACP_R16,PACP_R16,HACP_R16,Road_R16,PackH_R16,FM_R16,MIR_R16,Tmin_R16,C_km,Sam_rate,Total_R16,Total_FR16,S_district,Select_S,Samples,STR_ID_12,ACP_LAS,CT_risk,STR_ID__13,RCT2012,RCT2013,RCT2014,RCT2015,RCT2016,X_ref,Y_ref
0,451,AM0P06827621,12/6/2017,1/11/2018,10411 Russell Ave,Garden Grove,Orange,33.679165,-117.947495,Plant,Orange,10256,2720833.145,93597,S,6,S,10,W,5,190298.1265,-479456.2709,S06.0S10.0W05,3212456.802,6103,2376,637,2.243069,1.89979,-0.3048,49.072799,12.197886,-117.947998,33.681301,Orange,59,2,0,93597,93597,2828,0.23973,0.291518,0.435336,0.077529,0,0,0.733431,0.080064,1,12.999,0.028654,12.716878,0.307239,4,1,41,93597,1.624037,0.649615,93597,0,0,0.229757,0.976234,1.624037,190376,-479687
1,430,AM0P06558482,11/29/2017,1/3/2018,522 E 3rd St,Santa Ana,Orange,33.74684,-117.862562,Plant,Lime,10152,2642520.419,93407,S,5,S,9,W,7,198198.0326,-471219.2702,S05.0S09.0W07,2277966.649,15123,3807,367,5.72302,6.63882,32.918399,372.770385,108.119148,-117.861,33.754001,Orange,59,2,0,93407,93407,1838,1,0.319548,0.497588,0.219283,0,0,0.866968,0.106209,1,4.816,0.041832,21.952673,0.530375,4,0,0,93407,1.882039,0.752816,93407,0.016107,0.016107,0.322616,1.261877,1.882039,198083,-472011
2,289,AM0P06719240,9/28/2017,11/27/2017,522 E 3rd St,Santa Ana,Orange,33.747077,-117.862533,ACP,Citrus,10152,2642520.419,93407,S,5,S,9,W,7,198198.0326,-471219.2702,S05.0S09.0W07,2277966.649,15123,3807,367,5.72302,6.63882,32.918399,372.770385,108.119148,-117.861,33.754001,Orange,59,2,0,93407,93407,1838,1,0.319548,0.497588,0.219283,0,0,0.866968,0.106209,1,4.816,0.041832,21.952673,0.530375,4,0,0,93407,1.882039,0.752816,93407,0.016107,0.016107,0.322616,1.261877,1.882039,198085,-471985
3,425,AM0P06558479,11/28/2017,1/3/2018,14362 Bushard St,Westminster,Orange,33.75243,-117.96165,Plant,Pommelo,10158,2694274.273,93413,S,5,S,10,W,7,188352.1453,-471284.1914,S05.0S10.0W07,3394688.187,12228,3140,8209,4.538589,3.602099,7.619999,70.7136,34.184997,-117.967002,33.755298,Orange,59,2,0,93413,93413,3580,0.184609,0.603049,0.524745,0.623062,0,0,0.881637,0.099625,1,13.75,0.028345,33.221668,0.802632,4,0,0,93413,4.675253,1,93413,0.013533,0.059439,0.505558,3.692336,4.675253,188888,-471594
4,461,AM0P06827663,12/19/2017,1/11/2018,14362 Bushard St,Westminster,Orange,33.752847,-117.963079,Plant,Lemon,10158,2694274.273,93413,S,5,S,10,W,7,188352.1453,-471284.1914,S05.0S10.0W07,3394688.187,12228,3140,8209,4.538589,3.602099,7.619999,70.7136,34.184997,-117.967002,33.755298,Orange,59,2,0,93413,93413,3580,0.184609,0.603049,0.524745,0.623062,0,0,0.881637,0.099625,1,13.75,0.028345,33.221668,0.802632,4,0,0,93413,4.675253,1,93413,0.013533,0.059439,0.505558,3.692336,4.675253,188755,-471550
5,347,AM0P06720495,10/19/2017,11/27/2017,14362 Bushard St,Westminster,Orange,33.75339,-117.963549,ACP,Citrus,10158,2694274.273,93413,S,5,S,10,W,7,188352.1453,-471284.1914,S05.0S10.0W07,3394688.187,12228,3140,8209,4.538589,3.602099,7.619999,70.7136,34.184997,-117.967002,33.755298,Orange,59,2,0,93413,93413,3580,0.184609,0.603049,0.524745,0.623062,0,0,0.881637,0.099625,1,13.75,0.028345,33.221668,0.802632,4,0,0,93413,4.675253,1,93413,0.013533,0.059439,0.505558,3.692336,4.675253,188710,-471491
6,315,RS0P50001519,10/10/2017,11/27/2017,2003 N Bush St,Santa Ana,Orange,33.762726,-117.866329,ACP,Citrus,10121,2646163.023,93362,S,5,S,9,W,6,198146.1879,-469600.6576,S05.0S09.0W06,2799289.042,7934,2813,421,2.998349,2.83429,32.918399,372.770385,108.119148,-117.861,33.7686,Orange,59,2,0,93362,93362,3301,0.343844,0.37752,0.41688,0.396715,0,0,0.881637,0.090696,1,5.795,0.037762,23.601555,0.570211,4,0,0,93362,1.940216,0.776086,93362,0.019741,0.019741,0.288721,1.470202,1.940216,197694,-470258
7,435,AM0P06827593,11/30/2017,1/3/2018,2003 N Bush St,Santa Ana,Orange,33.762763,-117.86622,Plant,Lemon,10121,2646163.023,93362,S,5,S,9,W,6,198146.1879,-469600.6576,S05.0S09.0W06,2799289.042,7934,2813,421,2.998349,2.83429,32.918399,372.770385,108.119148,-117.861,33.7686,Orange,59,2,0,93362,93362,3301,0.343844,0.37752,0.41688,0.396715,0,0,0.881637,0.090696,1,5.795,0.037762,23.601555,0.570211,4,0,0,93362,1.940216,0.776086,93362,0.019741,0.019741,0.288721,1.470202,1.940216,197704,-470253
8,360,AM0P06724164,10/31/2017,12/7/2017,9651 Teal Ave,Garden Grove,Orange,33.764413,-117.960912,ACP,Citrus,10127,2542074.074,93368,S,5,S,10,W,6,188303.2205,-469645.9002,S05.0S10.0W06,2956078.152,10555,3063,5779,4.1522,3.57061,7.619999,70.7136,34.184997,-117.968002,33.770099,Orange,59,2,0,93368,93368,3498,0.33323,0.712681,0.544113,0.731283,0,0,0.881637,0.097469,1,12.382,0.028945,39.355103,0.950816,4,1,51,93368,4.020362,1,93368,0.015845,0.067737,0.584058,2.984969,4.020362,188928,-470264
9,356,AM0P06723786,10/27/2017,12/7/2017,13651 Havenwood Dr,Garden Grove,Orange,33.764816,-117.935293,ACP,Citrus,10125,2563851.802,93366,S,5,S,10,W,4,191570.3603,-469630.5445,S05.0S10.0W04,2752948.789,9257,2353,3090,3.61065,3.36258,7.619999,70.7136,34.184997,-117.931999,33.769599,Orange,59,2,0,93366,93366,2714,0.313742,0.631841,0.600484,0.230374,0,0,0.881637,0.082107,1,10.899,0.029819,24.633021,0.595132,4,0,0,93366,2.921773,1,93366,0.018963,0.056566,0.698873,2.333427,2.921773,191300,-470168
10,379,AM0P06724162,11/6/2017,1/8/2018,13612 Bowen St,Garden Grove,Orange,33.765166,-117.950637,ACP,Citrus,10126,2675074.182,93367,S,5,S,10,W,5,189935.2616,-469638.2033,S05.0S10.0W05,3024192.3,10710,2927,5617,4.003699,3.54144,7.619999,70.7136,34.184997,-117.949996,33.769901,Orange,59,2,0,93367,93367,3348,0.230994,0.641562,0.660055,0.364376,0,0,0.895955,0.08695,1,11.55,0.0294,28.321787,0.684252,4,1,49,93367,3.678212,1,93367,0.01748,0.061424,0.901875,2.681739,3.678212,189878,-470160
11,378,AM0P06830503,11/6/2017,1/8/2018,13582 Dawson St,Garden Grove,Orange,33.76547,-117.95229,ACP,Citrus,10126,2675074.182,93367,S,5,S,10,W,5,189935.2616,-469638.2033,S05.0S10.0W05,3024192.3,10710,2927,5617,4.003699,3.54144,7.619999,70.7136,34.184997,-117.949996,33.769901,Orange,59,2,0,93367,93367,3348,0.230994,0.641562,0.660055,0.364376,0,0,0.895955,0.08695,1,11.55,0.0294,28.321787,0.684252,4,1,49,93367,3.678212,1,93367,0.01748,0.061424,0.901875,2.681739,3.678212,189724,-470129
12,367,AM0P06830488,11/3/2017,1/8/2018,10551 Mallard Dr,Garden Grove,Orange,33.765485,-117.945418,ACP,Citrus,10126,2675074.182,93367,S,5,S,10,W,5,189935.2616,-469638.2033,S05.0S10.0W05,3024192.3,10710,2927,5617,4.003699,3.54144,7.619999,70.7136,34.184997,-117.949996,33.769901,Orange,59,2,0,93367,93367,3348,0.230994,0.641562,0.660055,0.364376,0,0,0.895955,0.08695,1,11.55,0.0294,28.321787,0.684252,4,1,49,93367,3.678212,1,93367,0.01748,0.061424,0.901875,2.681739,3.678212,190361,-470114
