FID,OBJECTID,LabNumber,PDRNumber,Collected_,CtValue,Results,Host,Lab_Set,Cycle_No,Month_,Year_,Program_ID,Activity_I,Situation_,Address,City,State,Zip,County,GRID_NUMBE,Latitude,Longitude,X_ref,Y_ref
0,57,17-37280,130P06728947,7/12/2017,39.77561569,NEG,Mexican Lime,CDFA, ,7,2017,HLB,42,63,1137 Paseo Del Conquistador,Calexico,CA,92231,Imperial, ,32.67318,-115.48118,424319,-583108
1,65,17-37306,130P06728953,7/14/2017,39.08146667,NEG,Mandarin,CDFA, ,7,2017,HLB,42,63,52 Second St.,Calexico,CA,92231,Imperial, ,32.6677,-115.5285,419907,-583924
2,77,17-40340,130P06728970,7/18/2017,39.32645035,NEG,Lime,CDFA, ,7,2017,HLB,42,63,831 Rockwood Avenue,Calexico,CA,92231,Imperial, ,32.6751,-115.4964,422880,-582963
3,89,17-40302,130P06728979,7/20/2017,38.91580582,NEG,Lemon,CDFA, ,7,2017,HLB,42,63,521 Paulin Avenue,Calexico,CA,92231,Imperial, ,32.67029,-115.49764,422789,-583501
4,104,17-47360,130P06729273,8/29/2017,39.89780045,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,525 Anderholt Road,Calexico,CA,92231,Imperial, ,32.688993,-115.413952,430542,-581055
5,109,17-48294,130P06729287,9/5/2017,38.64317322,NEG,Lemon,CDFA, ,9,2017,HLB,42,63,1790 West Highway 98,Calexico,CA,92231,Imperial, ,32.681581,-115.691621,404530,-583098
6,222,17-35235,130P06729405,6/20/2017,39.94594955,NEG,Orange,CDFA, ,6,2017,HLB,42,63,2295 E. Hwy 98,Calexico,CA,92231,Imperial, ,32.68616,-115.34477,437047,-581052
7,235,17-40281,130P06730515,7/27/2017,39.11616898,NEG,Grapefruit,CDFA, ,7,2017,HLB,42,63,1790 W. Highway 98,Calexico,CA,92231,Imperial, ,32.68157,-115.69164,404528,-583099
8,239,17-40261,130P06730516,7/27/2017,37.96291351,NEG,Lemon,CDFA, ,7,2017,HLB,42,63,1790 W. Highway 98,Calexico,CA,92231,Imperial, ,32.68157,-115.69164,404528,-583099
9,281,17-49756,130P06786209,9/12/2017,39.18985367,NEG,Orange,CDFA, ,9,2017,HLB,42,63,1652 ZENOS RD.,Holtville,CA,92250,Imperial, ,32.8129,-115.3934,431803,-567256
10,289,17-47350,130P06789384,8/24/2017,39.25802994,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,1275 Highway 98,Calexico,CA,92231,Imperial, ,32.67328,-115.42577,429517,-582847
11,293,17-40285,130P06789824,7/20/2017,38.03031921,NEG,Lemon,CDFA, ,7,2017,HLB,42,63,731 E. 1st Street,Calexico,CA,92231,Imperial, ,32.6658,-115.4884,423680,-583956
12,297,17-40348,130P06789827,7/24/2017,39.08860016,NEG,Lemon,CDFA, ,7,2017,HLB,42,63,961 Eady Avenue,Calexico,CA,92231,Imperial, ,32.67887,-115.51151,421443,-582613
13,317,17-40308,130P06789841,7/26/2017,39.98609543,NEG,Lime,CDFA, ,7,2017,HLB,42,63,117 McKinley Street,Calexico,CA,92231,Imperial, ,32.67617,-115.50081,422461,-582864
14,325,17-40223,130P06789847,7/28/2017,38.15970993,NEG,Lemon,CDFA, ,7,2017,HLB,42,63,904 W. Highway 98,Calexico,CA,92231,Imperial, ,32.67977,-115.61401,411821,-582964
15,357,17-40260,130P06789871,7/28/2017,39.36884308,NEG,Mandarin,CDFA, ,7,2017,HLB,42,63,1167 Cabana Street,Calexico,CA,92231,Imperial, ,32.69012,-115.47964,424374,-581227
16,435,17-43527,130P06790091,8/7/2017,39.35797119,NEG,Grapefruit,CDFA, ,8,2017,HLB,42,63,3675 E Hwy 98,Winterhaven,CA,92283,Imperial, ,32.7071,-115.21944,448686,-578151
17,443,17-47152,130P06790098,8/16/2017,39.21249008,NEG,calamondin,CDFA, ,8,2017,HLB,42,63,594 Ferrell Rd,Calexico,CA,92231,Imperial, ,32.68608,-115.58538,414475,-582142
18,460,17-35241,130P06790224,6/29/2017,39.51388168,NEG,Orange,CDFA, ,6,2017,HLB,42,63,2307 Hwy 98,Holtville,CA,92250,Imperial, ,32.69219,-115.33626,437812,-580346
19,511,17-40203,130P06790238,7/24/2017,39.00333786,NEG,Orange,CDFA, ,7,2017,HLB,42,63,757 Lincoln Street,Calexico,CA,92231,Imperial, ,32.67553,-115.51324,421298,-582991
20,527,17-43362,130P06790243,8/1/2017,38.84138107,NEG,Grapefruit,CDFA, ,8,2017,HLB,42,63,101 W. Cole Road,Calexico,CA,92231,Imperial, ,32.69409,-115.54324,418387,-581070
21,572,17-43382,130P06790268,8/1/2017,38.04977798,NEG,Orange,CDFA, ,8,2017,HLB,42,63,2295 Highway 98,Holtville,CA,92250,Imperial, ,32.68616,-115.34477,437047,-581052
22,588,17-43401,130P06790272,8/4/2017,38.24026108,NEG,Lime,CDFA, ,8,2017,HLB,42,63,1225 E 5th St,Calexico,CA,92231,Imperial, ,32.67011,-115.4763,424793,-583425
23,625,17-47585,130P06786180,8/24/2017,39.47345352,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,1313 E. Highway 98,Calexico,CA,92231,Imperial, ,32.68842,-115.42087,429896,-581150
24,639,17-40292,130P06789910,7/27/2017,38.88304901,NEG,Lemon,CDFA, ,7,2017,HLB,42,63,565 Scaroni Road,Calexico,CA,92231,Imperial, ,32.69152,-115.50801,421705,-581199
25,660,17-43577,130P06789925,8/2/2017,38.74731827,NEG,Orange,CDFA, ,8,2017,HLB,42,63,1178 Rainbow Avenue,Calexico,CA,92231,Imperial, ,32.68258,-115.52074,420557,-582244
26,701,17-47462,130P06789956,8/22/2017,38.84318542,NEG,Lime,CDFA, ,8,2017,HLB,42,63,532 Sam Ellis Street,Calexico,CA,92231,Imperial, ,32.68419,-115.50929,421623,-582015
27,708,17-47571,130P06789961,8/23/2017,38.92028046,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,109 John Kennedy Street,Calexico,CA,92231,Imperial, ,32.69024,-115.49838,422615,-581297
28,714,17-43581,130P06789964,8/7/2017,39.63224792,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,1236 McMillin St,Calexico,CA,92231,Imperial, ,32.67751,-115.4757,424810,-582604
29,717,17-43546,130P06789967,8/8/2017,38.37077332,NEG,Orange,CDFA, ,8,2017,HLB,42,63,1149 Paseo Camino Real,Calexico,CA,92231,Imperial, ,32.67571,-115.48056,424363,-582825
30,718,17-43529,130P06789968,8/8/2017,38.68833923,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,801 E. Rivera Avenue,Calexico,CA,92231,Imperial, ,32.67352,-115.47408,424983,-583038
31,725,17-47580,130P06790049,8/23/2017,38.38137436,NEG,Orange,CDFA, ,8,2017,HLB,42,63,2151 Rockwood Avenue,Calexico,CA,92231,Imperial, ,32.6886,-115.49562,422883,-581466
32,747,17-47460,130P06790112,8/22/2017,39.91176987,NEG,Lemon,CDFA, ,8,2017,HLB,42,63,839 Cole Road,Calexico,CA,92231,Imperial, ,32.69369,-115.46306,425910,-580758
