STR,HLBct12,HLBct13,HLBct14,HLBct15,HLBct16,HLBct17,Treect12,Treect13,Treect14,Treect15,Treect16,Treect17,ACPct12,ACPct13,ACPct14,ACPct15,ACPct16,ACPct17,HLB_FRisk
93183,0,0,0,0,0.141600027,194.4772305,0.031219764,0.012789432,0.597223883,0.675666568,0.332557138,13.33736023,0,0.037070228,0.356345177,1.636989589,0.805732591,8.370706991,220.8124921
92345,0.03662915,0,0,0.675313906,1.005541457,144.0491675,0.128340364,0.402746812,0.596639948,2.01152105,1.088879143,9.388402624,0,0.205333514,0.148892996,2.827340511,2.403979682,13.42410646,178.3928352
93247,0,0,0,0,0.129287824,150.5875852,0.025292031,0,0.544445009,0.498106224,0.320708531,13.22537961,0,0.035135046,0.322869332,1.376789257,0.922391481,8.248148098,176.2361376
91891,0,0,0,18.97887101,21.42150046,46.12752035,0.049161017,0.153206295,0.180430711,19.65763726,15.16119344,20.61070259,0,0.099553986,0.039638656,8.335736783,10.04776816,9.501575715,170.3644964
91886,0.026721838,0,0,11.60053477,18.76696825,37.84812629,0.09607814,0.322086795,0.430248622,15.77086838,16.70609955,22.18555094,0,0.132524467,0.110163561,7.685892237,13.82443476,8.920342468,154.4266411
93182,0,0,0,0,0.117987914,121.9343668,0.037597005,0.012485559,0.369008949,1.664483941,0.294492371,16.25886897,0,0.030422642,0.807800974,1.642371953,0.592191005,9.858360338,153.6204384
93116,0,0,0,0,0,62.97306236,0.072781036,0.013213166,0.244628454,0.368648729,0.126107753,35.68916864,0,0,0.230857762,0.867532971,0.835870192,20.38061451,121.8024856
91813,0.024107208,0,0,7.42104874,12.11223215,28.6067547,0.086718333,0.240176616,0.235030549,13.64565554,12.9660652,21.72407687,0,0.06767176,0.066043866,5.022265842,10.37790059,8.264671599,120.8604196
93246,0,0,0,0,0.10955215,97.08924329,0.029017892,0,0.412957384,0.641569176,0.28707189,11.18153312,0,0.029134401,0.424258937,1.380123699,0.540758513,8.136913538,120.262134
93184,0,0,0,0,0.172794257,100.1720423,0.025728736,0.012869973,0.585348104,0.360529132,0.374535119,9.02232118,0,0.04628109,0.204183227,1.441635969,1.105801397,6.258749053,119.7828196
93118,0,0,0,0,0.125093543,85.45103489,0.049774758,0.014810501,0.262456925,0.999896074,0.302419248,16.5187244,0,0.0311288,0.5677979,1.394182281,0.614376656,10.30921504,116.640911
93248,0,0,0,0,0.154298842,95.19121594,0.021713544,0,0.535360771,0.340967445,0.352469474,9.26223175,0,0.043250725,0.237476163,1.373221869,1.494026778,6.835275417,115.8415087
93367,0,0,0,0,0.105553703,98.09674762,0.01747957,0,0.253248529,0.404045404,0.358704397,5.548906275,0,0.030040416,0.706677175,1.537614898,0.418261264,7.256506406,114.7337857
93117,0,0,0,0,0.104860538,70.81750064,0.062711371,0.01410857,0.250976262,0.649392104,0.275332809,24.25937015,0,0.026003421,0.390127122,1.054874346,0.628362187,14.28458513,112.8182046
92277,0.036859628,0,0,0.870831178,1.17167336,83.49069619,0.129975681,0.404899523,0.598817177,3.101574703,1.25088671,5.939298482,0,0.160171953,0.149856834,2.352027155,2.759260686,8.200090318,110.6169196
93181,0,0,0,0,0.099966863,72.30719165,0.043784834,0.011995594,0.387356956,0.787058207,0.255870235,20.39340807,0,0.025513904,0.468777298,1.150972901,0.514622925,11.44695879,107.8934782
93052,0,0,0,0,0,52.80663113,0.124757658,0.015504881,0.166268994,0.29447665,0.144885861,32.03000556,0,0,0.179374705,0.80269963,0.749320557,19.76528431,107.0792099
91815,0,0,0,8.866241405,12.20770538,25.35925501,0,0.122198222,0,14.03324892,10.89309316,14.72516996,0,0.049726877,0.025278397,4.875764872,7.743117388,7.407968902,106.3087685
93119,0,0,0,0,0.152299146,80.28852124,0.038578509,0.015247521,0.300990043,0.570673655,0.332932413,11.32940191,0,0.038119564,0.30510984,1.496890676,0.701469351,6.688797354,102.2590312
93309,0,0,0,0,0.117111769,80.85294178,0.020872555,0,0.33487548,0.386485772,0.313500738,7.910962195,0,0.032704179,0.3998627,1.354338141,0.611357858,7.428293119,99.76330629
93115,0,0,0,0,0,47.58517556,0.072627236,0.012193215,0.208728784,0.285277975,0.117008841,27.46458346,0,0,0.175434375,0.737875849,0.587069104,16.96344135,94.20941575
92347,0.030094541,0,0,0.673959041,0.951024337,69.84251266,0.105488925,0.357392364,0.489941486,2.000022433,0.999246982,4.394186528,0,0.22047273,0.122152542,2.512904105,2.211684513,7.122498366,92.03358155
91976,0.025198861,0,0,7.002654222,8.678929863,23.9213808,0.090112175,0.286181851,0.383951383,8.290551215,7.210722375,11.84262319,0,0.11537757,0.091818005,4.239423793,8.183639214,10.45143084,90.81399536
92344,0.045668288,0,0,0.654640788,0.981798828,66.32264689,0.159883925,0.499370392,0.744529463,1.800638863,1.127374312,5.145313089,0,0.182987278,0.186037663,2.882091892,2.525725758,7.163192139,90.42189956
