STR,ACP_ri12,ACP_ri13,ACP_ri14,ACP_ri15,ACP_ri16,ACP_ri17
92333,1.18298199,626.9811453,458.9989051,723.5402361,864.3698607,349.2482222
92263,3.028076909,614.4452614,473.0619856,805.3181939,1070.596832,398.2003224
92332,0.847309723,560.9370976,400.9244898,642.1151749,771.6799259,322.9798842
92262,1.363527161,492.2869977,379.5322177,671.3691692,889.4683303,333.2357649
92266,1.226204603,384.5436069,266.9151583,778.8115588,1030.96019,423.9162794
92335,0.845679433,364.6109185,244.3165164,663.0892752,796.2922097,348.295621
92190,1.116952409,342.1432248,262.4026121,712.5581344,1198.509098,359.5667259
92402,0.575997122,331.0456766,226.0734774,590.9811511,659.425049,307.2619987
92188,0.831761407,325.3322652,246.6650588,715.4860505,1041.040623,341.8367196
92401,0.498578396,313.8301626,222.7976146,561.2111326,609.6122746,303.1570844
92261,0.562965828,299.1116618,222.0531033,615.3415039,723.894881,297.9599664
92331,0.46624308,297.5062955,215.135225,563.3146021,620.7930606,284.1935407
92192,0.80731068,294.8856107,203.3694835,726.9298705,1132.254865,406.9883891
92547,0.202191338,277.6194227,47.58039664,529.9809122,528.1774648,514.5425221
92549,0.162146894,276.5624964,43.15615577,511.7893356,488.3882891,478.06261
92410,0.263338897,270.3274948,58.37629706,632.2880901,683.4363464,447.4470944
92403,0.5050073,270.3120642,170.5416675,568.8156368,638.2510181,312.7610183
92114,0.540172897,268.8343129,240.4343617,784.0716745,1762.995561,356.848796
92482,0.220379381,264.5541343,43.17977776,539.4018372,582.6483972,537.9467258
92476,0.277485484,264.1215169,71.91243135,630.4223697,620.4539017,403.6330633
92113,0.47327049,263.9915114,217.0555258,717.836213,1212.358478,332.186706
92187,0.480399296,263.0371395,198.6182457,677.4502408,849.1906513,311.3045113
92540,0.253981931,261.4200419,73.3908472,604.8291703,538.0903872,433.7176126
92267,0.608791612,259.400779,150.8355201,634.5058295,863.7845831,376.2901741
92481,0.239409358,257.9865268,46.22223393,547.8720253,578.921403,516.5472295
92408,0.291056803,257.8332468,72.35499093,642.4172313,702.8977115,396.4842756
92610,0.271454976,257.6717453,55.0181868,513.1708534,457.2831188,430.8895097
92412,0.243589913,257.5318814,49.92389397,587.4548881,657.6887577,533.6383404
92612,0.179743908,257.0053679,49.3903215,499.0359137,450.5887658,411.6586955
92342,0.272336631,256.4366331,59.19653477,614.1427078,733.6241509,452.0606589
127404,0.041354238,255.5912302,119.7000297,341.8638472,254.5473239,186.2789126
92546,0.240643707,255.215783,50.06391721,525.9849309,517.835791,476.0834883
127405,0.031516053,254.2838547,107.534259,415.9155718,270.7594857,166.7264617
92483,0.19787156,253.2053712,39.28401216,489.1066625,534.8164654,490.9065949
92337,0.529579683,251.5703551,144.442357,572.1425861,719.8988668,337.9408124
92479,0.253510914,251.4540137,51.7749971,556.7938827,568.3505941,470.5060775
92477,0.264643524,249.9264541,59.75412103,575.9137319,581.2209389,426.5189766
92115,0.500848265,248.7722194,178.3728847,731.0612783,1278.868322,379.5813714
92551,0.109925527,248.7542807,41.68068722,474.2896339,460.3267529,408.1410139
92605,0.250384766,247.6391102,76.52015504,582.6504721,479.9399826,431.4090168
92613,0.137717214,246.5851616,60.70087223,484.6729403,444.7150111,376.6935631
92675,0.522093336,245.7606315,78.53922653,552.546185,428.428827,448.0527025
92608,0.313003736,245.4117735,59.26688046,514.2921653,456.2666386,437.4662173
92344,0.246462685,245.2424263,49.21709896,582.9784777,730.8896329,629.7419766
92740,1.112942628,244.8022332,77.84582914,574.372624,426.4623925,460.1422961
92414,0.225696729,244.4364534,44.31213122,556.1599971,647.9050546,629.904086
92195,0.524453672,244.1018974,138.3496177,665.8357071,994.1789041,392.3713036
92112,0.355262385,242.7090095,172.0095901,689.5076884,912.4288869,287.4224189
92680,0.169587849,241.2289454,72.07160593,512.4002314,426.4301089,355.3719637
92539,0.223671004,240.9315308,88.35495919,577.5164894,539.4986674,387.9051481
92474,0.296797335,239.9393398,88.35815902,598.2307389,604.4271739,361.665229
92677,0.389868596,239.919738,64.13635684,531.4263476,425.6212265,386.2888149
92278,0.209969641,237.7005479,42.04018264,557.9195595,858.3430573,560.3232795
92116,0.427202767,237.5594814,126.2086716,720.8982221,1113.03086,402.2627971
92484,0.088364673,237.4667282,34.79433052,450.0837207,519.6769137,409.6416415
92038,0.36718849,236.6434842,187.0009326,704.7244169,1222.699338,333.8370397
92542,0.271655287,236.1782404,62.91588765,539.2563818,499.9977541,411.0978461
92739,1.048428392,235.061431,75.00576743,541.5359011,408.3276192,457.2573352
92042,0.440473171,234.8191977,74.74475824,683.9926329,1334.624727,509.7465853
92340,0.311341329,234.0204696,73.96398088,588.8090292,724.7137932,383.8969194
92678,0.245202527,233.8148519,59.52549366,518.5621756,423.6376547,348.3519073
92803,1.794529233,233.477618,82.38851114,564.7940784,430.7753915,504.0319714
92544,0.261773451,233.3279143,55.2211259,511.1871872,492.0905207,420.974876
92673,0.515549505,233.0636451,69.09170704,519.7514389,410.4523987,422.8066418
92618,0.069154512,232.5019477,61.01186689,424.4971914,303.9617268,324.323836
92400,0.296599508,232.3710229,170.9186775,507.622789,539.9291628,285.4852669
92275,0.259084653,232.1917879,49.80537639,556.2127838,819.9195503,584.5688226
92604,0.223341504,232.0111418,92.2666148,585.5976606,493.570054,453.507955
92416,0.206851614,231.1851301,40.64123785,507.5396635,625.5031374,540.6777185
92682,0.123899651,231.1037803,62.42062001,463.3668583,361.4674194,314.2285783
92407,0.335502432,230.719925,92.4946655,572.5928267,646.1509232,355.6942464
92345,0.224916658,230.6494612,43.34709388,559.2487611,729.2549075,898.8954313
92037,0.328677185,230.2150743,181.7865499,674.1571336,1030.028979,295.083879
92277,0.233917188,230.109378,44.24636475,567.8283205,848.428032,734.9523345
92406,0.407864821,229.6231937,123.9556426,535.94502,617.1091872,325.0681185
92280,0.187300042,229.2225775,41.02816969,517.4521928,883.5252165,436.5483091
92039,0.381739857,229.072435,146.0659025,677.5582815,1137.614408,352.5078503
92614,0.106978404,228.474963,55.44676697,440.0517636,384.0428152,343.8734289
91964,0.737979762,227.9785579,60.74742185,628.640607,1805.284495,744.2738661
92117,0.377435776,226.9420743,97.11625764,699.7074342,1071.757377,424.3107916
92607,0.317623222,225.3447968,61.36534425,492.6256452,442.5016435,403.4377743
92041,0.40934293,224.7386253,98.88147624,737.7247556,1222.009773,446.7370331
92273,0.288406321,224.6959708,59.59898482,559.8107859,789.17187,443.4709427
92616,0.085093761,224.5743627,53.51144358,427.6978278,324.8645509,322.0905983
91814,0,224.4935417,76.15818619,370.7916844,182.8475007,140.606433
92747,0.136628355,224.0085578,70.94167473,486.8954375,344.8792353,278.5120483
92260,0.311039348,223.9022979,160.1975964,603.784786,635.5543748,261.9799378
92043,0.446512117,223.8893821,61.22121784,618.0604741,1478.304201,617.748838
92606,0.288274379,223.5410165,66.56027534,508.2287917,443.4990323,394.2600023
92683,0.094858432,223.2424098,58.07575773,437.4229582,318.1012416,289.5713083
92745,0.196609218,223.2041967,85.02234547,530.4909943,403.1043762,301.6483385
92347,0.204266192,222.9865427,40.56901792,527.0457108,716.5926986,589.9527182
92685,0.075180772,222.5933454,63.78034733,412.3725167,297.3652137,308.2031198
92036,0.272671438,222.5823308,155.6859188,646.8932359,852.9067169,260.7322139
92118,0.350920242,222.4476664,74.89299183,651.1722724,1124.448882,446.9662347
92553,0.090210294,221.2377274,45.34584187,430.4388997,400.6387113,361.9263167
92470,0.314868955,221.1460777,153.5205159,503.3992627,517.5976478,304.578717
92804,2.102931428,221.1056056,84.92043751,582.003581,431.4729765,466.361639
92186,0.302946112,220.4915894,167.4125823,667.0669265,742.5538494,268.9580126
92742,0.577426384,220.1176998,68.15452166,553.4434574,420.455785,372.9097674
92670,0.292958792,220.0873853,81.15088339,558.7077027,433.7983091,416.8923671
91963,0.646253414,219.940625,69.4944859,633.9857053,1515.470257,541.0168352
92417,0.187000425,219.4641563,38.79572224,456.5806252,582.4817464,443.8422733
92751,0.079250773,218.885139,69.55704225,398.0404128,309.6736617,264.5626019
92672,0.397957041,218.4889915,70.98537543,509.3118929,408.0552957,393.1207801
91952,0.297899709,218.3756604,148.4495237,619.5773199,952.4470477,291.3150279
92040,0.389054637,218.0043092,113.9212923,682.3349501,1100.753192,389.0978539
92557,0.0623163,217.3900082,60.14544659,386.7902256,341.84796,302.0898279
92737,0.567552205,217.0995931,75.25568619,514.9106882,389.0826735,433.0536481
92197,0.416292152,216.141026,98.58846078,595.2697475,901.5419108,377.7545699
92111,0.259145995,215.8393692,141.3504544,647.4168242,767.3358924,235.1782074
92753,0.063058949,215.6303956,79.75757983,350.4304228,342.8559821,250.8445839
92473,0.324643007,215.2609545,109.9449023,525.7000282,554.1657453,326.9765866
91967,0.621800475,215.0101917,56.75198501,660.0114301,2223.906113,993.0149698
92809,0.207190736,214.6516854,94.41483892,551.8936692,392.1959474,273.8485569
92471,0.340011233,214.619582,132.7234088,508.2565979,534.8582894,310.2403915
92874,0.306162765,213.6106412,82.47169441,577.2490535,377.6515606,289.8183429
92749,0.101712999,213.5491162,65.02995864,435.8567908,309.5569415,257.6133831
92210,0.132613616,213.368285,40.25767021,505.6301072,993.6117335,398.6612331
93001,0.262315972,212.7845167,74.09286951,501.1743614,598.1431486,457.4957314
92811,0.141339033,212.5885016,78.11470687,496.8476632,336.2480948,267.2056817
91956,0.337032496,212.5388527,119.7337997,617.5396314,989.3741589,312.3462367
92271,0.331501316,212.4355132,75.55804192,560.6144145,780.5467252,381.8482435
92209,0.196246455,211.1643783,44.82785934,552.3370506,1083.709964,458.9141406
92869,0.892256462,211.0886409,88.32996309,554.2042297,490.2544491,528.7707054
92349,0.184059427,210.8664716,39.72246608,466.8204406,684.3012409,435.9119137
91950,0.261607761,210.6746415,147.2399094,590.6887409,835.8235595,251.3167329
127372,0,210.5559093,67.1800683,413.9911711,209.176004,173.094445
127371,0,210.3822797,68.03274367,411.548408,204.7189066,202.017147
92999,0.258341606,210.2297684,83.9201554,507.9096904,1022.857939,623.566312
92555,0.074589856,209.2115261,50.01213871,392.8412245,358.8964487,320.9570913
92490,0.055492261,209.0076848,61.83402254,378.2733127,391.8849099,305.6427157
92744,0.315283812,208.990202,72.1499905,540.1090326,416.8957309,332.0864073
92936,0.420188606,208.6398185,82.73099822,518.1551692,731.9269285,562.0017674
93002,0.228654264,208.428049,70.94697937,497.8400738,402.6002367,315.9498804
92537,0.227379853,207.8673896,106.4546207,541.5615631,513.9117041,358.5278991
93062,0.177171,207.7653979,91.99651516,496.6133654,614.450798,503.2909845
93064,0.164869721,207.5337938,69.38850982,454.83109,354.3762546,273.8216397
92130,0.105804226,207.4106769,46.4478432,496.8276488,1145.009858,468.3861281
91958,0.392846049,207.3607649,97.54300424,633.2351045,1080.977909,351.7152115
92207,0.224059959,207.3167797,46.02458675,561.8919355,1048.749566,533.9427485
127349,0,206.8023343,63.04773936,357.596605,243.4425571,168.264563
92687,0.060572486,206.7056414,77.44870533,345.018295,302.4054959,297.5883448
92205,0.254127818,206.4220398,47.58135945,533.1958678,1005.520927,587.8128619
91881,1.748179935,206.3041733,63.31887244,612.5367102,2033.162401,791.1885646
92937,0.430371958,206.3000596,74.88252112,525.8306697,540.9869132,456.8782099
92939,0.336700276,205.937963,73.99358394,528.5307243,407.5204299,354.8132293
92486,0.075682442,205.747061,41.82162252,407.3683129,449.8729826,372.5893625
92801,0.674644988,205.5713902,83.40239272,508.1443929,400.5902315,462.8236604
92203,0.284387133,205.4223352,52.3571702,522.4414251,942.4357339,519.9672078
91883,1.116431255,205.2424579,58.29366638,711.451832,2528.687171,1161.03921
92049,0.325610003,205.1668546,58.7533338,614.6187412,1794.177747,908.8347597
127382,0.027128177,205.1523623,92.34829524,299.3094739,226.1979281,144.2855167
92282,0.155462934,205.1303032,37.11295277,461.8915008,780.829581,379.9238854
92047,0.400807342,205.0198779,56.02658319,589.7579226,1600.675525,748.4733391
92941,0.234316016,204.6087385,87.24571095,551.5216311,363.9866607,281.8270226
92469,0.291500606,204.3766317,158.1661918,481.1867241,480.145866,306.2037964
91961,0.49130198,203.9254071,82.8187952,656.2321454,1310.341106,410.4689297
92620,0.056773743,203.9250007,76.43344811,349.8514201,291.9775561,311.3435165
91973,0.441061172,203.8143441,58.59398683,753.1951756,2513.916111,1133.320305
92199,0.352156638,203.6745959,74.56672053,557.9817734,889.786689,399.7575403
93063,0.179412727,203.5794154,78.02415773,473.6117108,470.4127142,390.7247588
92120,0.339910274,203.4540623,61.1902894,568.3669658,1128.948317,496.0670325
92807,0.348212665,203.2641907,85.75683543,576.6618582,405.9396162,300.5217144
92201,0.314899992,203.180207,60.78693213,530.2765128,902.0604742,446.4707401
91866,0.262840433,202.8964668,125.5091861,512.698055,778.2073667,238.0880587
92871,0.947783839,202.5588211,79.97045658,559.3848882,455.444997,460.6569349
92812,0.104235408,202.2470204,74.19934324,450.7896761,295.6869966,235.5506281
92998,0.21949396,202.0666664,99.11931204,518.3916409,631.468614,580.1526525
127402,0.074348061,201.923711,105.6758168,269.7634703,207.4845629,144.6578622
92035,0.218020149,201.901833,134.3429495,576.1420907,699.9463638,206.0527814
92559,0.052275127,201.7396866,74.31489254,334.6563972,336.8368665,299.2496195
92330,0.249776944,201.5709802,147.4242627,516.7656858,532.2136906,252.7557151
92735,0.338708279,201.2302427,85.69914203,512.9151028,393.5998749,420.6080628
92876,0.193151439,200.869248,97.02131719,561.8647255,357.1353493,263.8422872
92806,0.727164955,200.6219779,79.33798835,583.7576886,416.2381104,361.6993705
93061,0.159212685,199.5680178,112.60824,527.1577428,518.1886966,544.3009803
