"STR_ID","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Tree12","Tree13","Tree14","Tree15","Tree16","Tree17"
574,0,0,0,0,3,0,0,0,0,0,3,0
6519,0,0,0,0,0,1,0,0,0,0,0,2
6569,0,0,0,0,0,2,0,0,0,0,0,6
6622,0,1,0,0,0,0,0,1,0,0,0,0
9455,0,1,0,0,0,0,0,1,0,0,0,0
9460,1,0,0,0,0,0,1,0,0,0,0,0
10147,0,1,0,0,0,0,0,1,0,0,0,0
10152,0,2,0,0,0,0,0,2,0,0,0,0
10211,1,0,1,0,0,0,1,0,1,0,0,0
10216,0,1,0,0,0,0,0,1,0,0,0,0
10401,0,1,1,0,0,0,0,2,1,0,0,0
10411,0,0,1,0,0,0,0,0,6,0,0,0
10413,0,2,0,0,0,0,0,3,0,0,0,0
10416,0,1,0,0,0,0,0,1,0,0,0,0
10421,0,0,2,0,0,0,0,0,2,0,0,0
10497,0,2,1,0,0,0,0,2,2,0,0,0
10505,0,1,1,0,0,0,0,1,1,0,0,0
10509,1,1,0,0,0,0,1,1,0,0,0,0
10600,0,1,0,0,0,0,0,1,0,0,0,0
10606,1,1,1,0,0,0,1,1,3,0,0,0
10707,0,3,0,0,0,1,0,6,0,0,0,3
10713,1,0,0,0,0,0,1,0,0,0,0,0
10792,0,1,1,0,0,0,0,1,4,0,0,0
11826,0,0,0,0,1,0,0,0,0,0,1,0
14053,0,0,0,0,0,2,0,0,0,0,0,2
15579,0,0,0,0,0,1,0,0,0,0,0,1
15803,0,2,1,0,0,0,0,2,1,0,0,0
15873,0,1,0,0,0,0,0,1,0,0,0,0
15881,1,0,0,0,0,0,1,0,0,0,0,0
16025,0,1,0,0,0,0,0,1,0,0,0,0
16937,0,0,0,1,0,0,0,0,0,3,0,0
16969,0,0,0,0,0,2,0,0,0,0,0,2
17057,1,0,0,0,0,0,1,0,0,0,0,0
17077,1,0,0,0,0,0,1,0,0,0,0,0
17088,0,1,0,0,0,0,0,1,0,0,0,0
17089,0,0,1,0,0,0,0,0,2,0,0,0
17091,1,0,0,0,0,0,1,0,0,0,0,0
17139,0,0,0,0,0,8,0,0,0,0,0,14
17170,1,0,0,0,0,0,1,0,0,0,0,0
17173,0,0,0,0,0,4,0,0,0,0,0,4
17196,1,0,0,0,0,0,1,0,0,0,0,0
17197,1,0,0,0,0,0,1,0,0,0,0,0
17257,0,0,0,0,0,1,0,0,0,0,0,1
30599,0,0,1,0,0,0,0,0,1,0,0,0
33033,1,1,1,0,0,0,2,2,2,0,0,0
33489,0,0,1,0,0,0,0,0,2,0,0,0
33578,0,0,0,0,0,2,0,0,0,0,0,9
33586,0,2,0,0,0,0,0,3,0,0,0,0
33776,1,0,1,0,0,1,1,0,3,0,0,1
33779,2,3,3,0,0,0,2,5,11,0,0,0
33780,0,1,1,0,0,0,0,1,3,0,0,0
33878,1,2,4,0,0,0,1,2,16,0,0,0
33880,0,0,1,0,0,0,0,0,1,0,0,0
34067,0,1,1,0,0,0,0,1,1,0,0,0
34173,1,0,1,0,0,0,1,0,3,0,0,0
34280,0,1,0,0,0,0,0,2,0,0,0,0
34761,0,1,0,0,0,0,0,1,0,0,0,0
35795,0,2,0,0,0,0,0,2,0,0,0,0
35845,0,1,0,0,0,0,0,1,0,0,0,0
35859,0,0,0,2,0,1,0,0,0,6,0,3
36050,0,2,1,0,0,0,0,2,1,0,0,0
36127,0,0,0,0,0,3,0,0,0,0,0,4
36226,0,0,1,0,0,0,0,0,1,0,0,0
37151,0,0,0,0,0,1,0,0,0,0,0,1
37234,0,0,1,0,0,0,0,0,1,0,0,0
37237,0,1,0,0,0,0,0,1,0,0,0,0
37342,0,0,0,0,1,5,0,0,0,0,1,5
37441,0,0,0,0,1,0,0,0,0,0,2,0
37445,0,0,0,0,1,0,0,0,0,0,1,0
37447,0,0,1,0,0,0,0,0,1,0,0,0
37528,0,0,0,0,1,0,0,0,0,0,1,0
37545,0,0,0,0,0,2,0,0,0,0,0,2
37631,0,0,0,0,4,0,0,0,0,0,16,0
37632,0,0,0,0,1,0,0,0,0,0,1,0
37633,0,0,0,0,1,0,0,0,0,0,1,0
37647,1,0,0,0,0,0,1,0,0,0,0,0
37650,0,0,1,0,0,0,0,0,1,0,0,0
37652,0,0,0,0,4,0,0,0,0,0,4,0
37740,0,0,0,0,1,0,0,0,0,0,1,0
37748,0,1,0,0,0,0,0,1,0,0,0,0
37754,0,0,0,0,0,1,0,0,0,0,0,1
37755,0,0,0,0,0,3,0,0,0,0,0,3
37848,0,0,0,0,2,0,0,0,0,0,3,0
37861,0,0,0,0,1,0,0,0,0,0,1,0
37955,0,0,0,0,0,6,0,0,0,0,0,10
37960,0,1,4,0,1,0,0,1,5,0,2,0
37962,0,0,1,0,0,0,0,0,1,0,0,0
37963,0,0,0,0,0,2,0,0,0,0,0,2
38060,0,0,0,0,0,1,0,0,0,0,0,1
38067,0,0,0,0,0,3,0,0,0,0,0,3
38068,0,0,0,0,0,4,0,0,0,0,0,6
38169,0,0,0,0,3,0,0,0,0,0,3,0
38179,0,0,0,0,3,0,0,0,0,0,4,0
38180,0,0,0,0,1,0,0,0,0,0,1,0
38277,0,0,0,0,0,1,0,0,0,0,0,1
38279,0,0,0,0,1,0,0,0,0,0,1,0
38285,0,0,0,0,1,0,0,0,0,0,1,0
38288,0,0,1,0,0,0,0,0,1,0,0,0
38290,0,0,2,0,0,0,0,0,2,0,0,0
38390,0,0,0,0,6,0,0,0,0,0,6,0
38392,0,0,0,0,2,0,0,0,0,0,2,0
38396,0,0,0,1,0,0,0,0,0,2,0,0
38399,0,0,0,0,0,2,0,0,0,0,0,5
38491,0,0,0,0,1,0,0,0,0,0,2,0
38495,0,0,0,0,0,2,0,0,0,0,0,5
38502,0,0,0,0,2,0,0,0,0,0,2,0
38504,0,0,0,0,1,0,0,0,0,0,1,0
38601,0,0,0,0,1,0,0,0,0,0,2,0
38605,0,0,0,0,0,1,0,0,0,0,0,1
38626,0,1,0,0,0,0,0,2,0,0,0,0
38627,0,0,3,0,0,0,0,0,4,0,0,0
38717,0,0,0,0,0,1,0,0,0,0,0,1
38777,0,0,0,0,0,1,0,0,0,0,0,1
38778,0,0,0,0,0,1,0,0,0,0,0,1
38781,0,0,0,0,0,1,0,0,0,0,0,1
38783,0,0,0,0,1,0,0,0,0,0,1,0
38792,0,0,0,0,1,0,0,0,0,0,1,0
38870,0,0,0,0,0,15,0,0,0,0,0,21
38872,0,0,0,0,0,1,0,0,0,0,0,1
38983,0,0,0,0,5,0,0,0,0,0,5,0
39010,0,0,0,0,1,0,0,0,0,0,1,0
39024,0,0,0,0,1,0,0,0,0,0,1,0
39090,0,0,0,0,0,2,0,0,0,0,0,2
39102,0,0,0,0,1,0,0,0,0,0,1,0
39104,0,0,0,0,2,0,0,0,0,0,3,0
39105,0,0,0,0,1,0,0,0,0,0,2,0
39106,0,0,0,0,10,0,0,0,0,0,10,0
39107,0,0,0,0,1,0,0,0,0,0,2,0
39227,0,0,0,0,7,0,0,0,0,0,7,0
39261,0,0,0,0,0,3,0,0,0,0,0,3
39263,0,0,0,0,0,1,0,0,0,0,0,1
39267,0,0,0,0,0,4,0,0,0,0,0,4
39343,0,0,0,0,7,0,0,0,0,0,7,0
39352,0,0,0,0,0,1,0,0,0,0,0,1
39354,0,0,0,0,0,6,0,0,0,0,0,6
39454,0,0,0,0,0,5,0,0,0,0,0,5
